# i si j sj a b distance p sign Re(class) Im(class) Re(target) Im(target) Re(sign_class) Im(sign_class) residual
1 0 28 0 1 28 27 26 1 1.412969260722523 0 1.412969260722523 0 1.412969260722523 0 0
1 0 29 0 1 29 28 27 1 -0.69238670518368572 0 -0.69238670518368572 0 -0.69238670518368572 0 0
1 0 30 0 1 30 29 28 1 1.412805434823321 0 1.412805434823321 0 1.412805434823321 0 0
1 0 31 0 1 31 30 29 1 -0.6925078382886708 0 -0.6925078382886708 0 -0.6925078382886708 0 0
1 0 32 0 1 32 31 30 1 1.4127254916248142 0 1.4127254916248142 0 1.4127254916248142 0 0
1 0 33 0 1 33 32 31 1 -0.69254756909215287 0 -0.69254756909215287 0 -0.69254756909215287 0 0
1 0 34 0 1 34 31 30 1 1.4127254916248142 0 1.4127254916248169 0 1.4127254916248142 0 2.6645352591003757e-15
1 0 35 0 1 35 30 29 1 -0.6925078382886708 0 -0.69250783828867302 0 -0.6925078382886708 0 2.2204460492503131e-15
1 0 36 0 1 36 29 28 1 1.412805434823321 0 1.4128054348233245 0 1.412805434823321 0 3.5527136788005009e-15
1 0 37 0 1 37 28 27 1 -0.69238670518368572 0 -0.69238670518369061 0 -0.69238670518368572 0 4.8849813083506888e-15
1 0 38 0 1 38 27 26 1 1.412969260722523 0 1.4129692607225253 0 1.412969260722523 0 2.2204460492503131e-15
1 0 39 0 1 39 26 25 1 -0.69217811196996715 0 -0.69217811196997048 0 -0.69217811196996715 0 3.3306690738754696e-15
1 0 40 0 1 40 25 24 1 1.4132253331583424 0 1.4132253331583415 0 1.4132253331583424 0 8.8817841970012523e-16
1 0 41 0 1 41 24 23 1 -0.69187112178069776 0 -0.69187112178070287 0 -0.69187112178069776 0 5.1070259132757201e-15
1 0 42 0 1 42 23 22 1 1.4135875246411542 0 1.4135875246411573 0 1.4135875246411542 0 3.1086244689504383e-15
1 0 43 0 1 43 22 21 1 -0.69144844497275415 0 -0.69144844497276392 0 -0.69144844497275415 0 9.7699626167013776e-15
1 0 44 0 1 44 21 20 1 1.4140771750058097 0 1.4140771750058145 0 1.4140771750058097 0 4.8849813083506888e-15
1 0 45 0 1 45 20 19 1 -0.69088386103115262 0 -0.69088386103115063 0 -0.69088386103115262 0 1.9984014443252818e-15
1 0 46 0 1 46 19 18 1 1.4147264780329518 0 1.4147264780329598 0 1.4147264780329518 0 7.9936057773011271e-15
1 0 47 0 1 47 18 17 1 -0.6901377561362213 0 -0.6901377561362213 0 -0.6901377561362213 0 0
1 0 48 0 1 48 17 16 1 1.415584401425233 0 1.4155844014252348 0 1.415584401425233 0 1.7763568394002505e-15
1 0 49 0 1 49 16 15 1 -0.68914919296560939 0 -0.68914919296561961 0 -0.68914919296560939 0 1.021405182655144e-14
1 0 50 0 1 50 15 14 1 1.4167274407073669 0 1.4167274407073918 0 1.4167274407073669 0 2.4868995751603507e-14
1 0 51 0 1 51 14 13 1 -0.68782111261705625 0 -0.68782111261707468 0 -0.68782111261705625 0 1.8429702208777599e-14
1 0 52 0 1 52 13 12 1 1.418280333004784 0 1.4182803330047968 0 1.418280333004784 0 1.2878587085651816e-14
1 0 53 0 1 53 12 11 1 -0.68599076312992613 0 -0.6859907631299299 0 -0.68599076312992613 0 3.7747582837255322e-15
1 0 54 0 1 54 11 10 1 1.4204592435907357 0 1.4204592435907557 0 1.4204592435907357 0 1.9984014443252818e-14
1 0 55 0 1 55 10 9 1 -0.68336495168385192 0 -0.6833649516838608 0 -0.68336495168385192 0 8.8817841970012523e-15
